song_title,song_id,artists,is_sexist,main_artist,artist_name,pct_songs_sexist_weighted,avg_sexist_prob
MÖRDER,b2df565b-e767-434c-b792-5ac5f75e4df0,Play69,1,Play69,Play69,83.33333333333334,0.9880772829055786
Für immer und ewig,2aadb34a-6163-4940-aa36-f63039ab1569,Rödelheim Hartreim Projekt,1,Rödelheim Hartreim Projekt,Rödelheim Hartreim Projekt,83.33333333333334,0.9879201576113701
Guter Tag,466e10ce-1e7f-4068-8c8c-47b066e3b00e,Rödelheim Hartreim Projekt,1,Rödelheim Hartreim Projekt,Rödelheim Hartreim Projekt,83.33333333333334,0.9879201576113701
Keine ist,19c1f98a-dce5-4662-8c96-20fd8352f844,Rödelheim Hartreim Projekt,1,Rödelheim Hartreim Projekt,Rödelheim Hartreim Projekt,83.33333333333334,0.9879201576113701
Mamaplazda,38865536-8e96-4682-9a91-2cb3b709eb1b,Rödelheim Hartreim Projekt,1,Rödelheim Hartreim Projekt,Rödelheim Hartreim Projekt,83.33333333333334,0.9879201576113701
Mein Style,c210e354-0fe4-4683-b722-ac0b819635b4,Rödelheim Hartreim Projekt,1,Rödelheim Hartreim Projekt,Rödelheim Hartreim Projekt,83.33333333333334,0.9879201576113701
Papa,26f6b37f-05cd-4fe6-a094-988fec5e2d4f,Rödelheim Hartreim Projekt,1,Rödelheim Hartreim Projekt,Rödelheim Hartreim Projekt,83.33333333333334,0.9879201576113701
Sadoma Ehrlich,18e31060-98a2-4078-b147-68faf7d01c5f,Rödelheim Hartreim Projekt,1,Rödelheim Hartreim Projekt,Rödelheim Hartreim Projekt,83.33333333333334,0.9879201576113701
Türkisch (Gib’n weita),a3b8b657-dbdc-4898-8059-49b04d990721,Rödelheim Hartreim Projekt,1,Rödelheim Hartreim Projekt,Rödelheim Hartreim Projekt,83.33333333333334,0.9879201576113701
Baggies,47241e04-176b-408a-bbf8-30d61b337dde,Sääftig,1,Sääftig,Sääftig,83.33333333333334,0.9817406088113785
Bayrisch Drill,19c8d892-8488-4965-92d8-9d9cf6ec6a48,Sääftig,1,Sääftig,Sääftig,83.33333333333334,0.9817406088113785
Bayrisch Drip,8b52202b-8f80-411e-b86e-f098d7649932,Sääftig,1,Sääftig,Sääftig,83.33333333333334,0.9817406088113785
BÄBY,e815f8f7-8393-406a-a6e9-5e54c2034c2e,Sääftig,1,Sääftig,Sääftig,83.33333333333334,0.9817406088113785
Dirndl Weed,04cb2575-4293-4a27-9ad8-f3cb4b63abd4,Sääftig,1,Sääftig,Sääftig,83.33333333333334,0.9817406088113785
GELBER REGEN,317b1384-2dbb-45da-a3d5-33a8bfe40f14,Sääftig,1,Sääftig,Sääftig,83.33333333333334,0.9817406088113785
JOA,026f0923-a7d9-4814-8546-d8651f98ab3a,Sääftig,1,Sääftig,Sääftig,83.33333333333334,0.9817406088113785
KAISERSCHMARRN,f2acf8ee-faeb-413d-a1be-eee22f55a112,Sääftig,1,Sääftig,Sääftig,83.33333333333334,0.9817406088113785
Fotze,6106bb33-a25f-4d99-b456-d94924f9f632,Der Asiate,1,Der Asiate,Der Asiate,83.33333333333334,0.98011664301157
Fuckin,717386e6-d593-48ee-ac03-918c017bd998,Der Asiate,1,Der Asiate,Der Asiate,83.33333333333334,0.98011664301157
Für die Ewigkeit,50658c7f-7bfe-4dce-ad7b-4aacbcf61e9f,Der Asiate,1,Der Asiate,Der Asiate,83.33333333333334,0.98011664301157
Juliensöhne,73b39fb7-39fd-444c-9218-61b415e07229,Der Asiate,1,Der Asiate,Der Asiate,83.33333333333334,0.98011664301157
Meine Lieblingsrapper/innen,4b23816a-a101-4dfe-896f-899175399d89,Der Asiate,1,Der Asiate,Der Asiate,83.33333333333334,0.98011664301157
Qualifikation [JBB 2012],8d93b286-d4d6-4ad0-bd13-afd32802eb77,Der Asiate,1,Der Asiate,Der Asiate,83.33333333333334,0.98011664301157
Vs. AHMED [4tel-Finale JBB 2012],4e444912-2aa2-46e0-936e-0b0be42852d8,Der Asiate,1,Der Asiate,Der Asiate,83.33333333333334,0.98011664301157
Wir sind die Polizei,562d216f-6d01-43f1-8ecd-c37666e2020c,Der Asiate,1,Der Asiate,Der Asiate,83.33333333333334,0.98011664301157
Der gleiche Scheiß im Kleinen (Part 1),e3ed68a2-7174-4676-9fd5-f1ba2c414a32,Lena Stoehrfaktor,1,Lena Stoehrfaktor,Lena Stoehrfaktor,83.33333333333334,0.9765547588467598
Die Angst Vor Dem Verlieren,07582ec0-3504-45b6-ba85-b07d6f2f42e1,Lena Stoehrfaktor,1,Lena Stoehrfaktor,Lena Stoehrfaktor,83.33333333333334,0.9765547588467598
Die Angst vor den Gedanken verlieren,f9c323e8-33ce-4994-8853-ce546e5d0213,Lena Stoehrfaktor,1,Lena Stoehrfaktor,Lena Stoehrfaktor,83.33333333333334,0.9765547588467598
Flunkyballs,efcb2fb2-0c24-482f-a5e3-7e415b9cfd9e,Lena Stoehrfaktor,1,Lena Stoehrfaktor,Lena Stoehrfaktor,83.33333333333334,0.9765547588467598
Freu Dich 2,7917c8a8-ba9f-4ef4-b484-208b87535db5,Lena Stoehrfaktor,1,Lena Stoehrfaktor,Lena Stoehrfaktor,83.33333333333334,0.9765547588467598
Kein Frieden mit der Mitte - Don’t walk that line,76029dc8-9544-456b-8f47-c53d4be55144,Lena Stoehrfaktor,1,Lena Stoehrfaktor,Lena Stoehrfaktor,83.33333333333334,0.9765547588467598
Passt aufeinander auf,6f462eef-b938-465b-ae5c-3ad87fd81cf8,Lena Stoehrfaktor,1,Lena Stoehrfaktor,Lena Stoehrfaktor,83.33333333333334,0.9765547588467598
Unerhört,6ddf7a97-d7e2-447c-accf-d4cfafe02ea3,Lena Stoehrfaktor,1,Lena Stoehrfaktor,Lena Stoehrfaktor,83.33333333333334,0.9765547588467598
2CB,698b9381-9155-4fdb-89a6-276ecd5d1fe3,RAF Camora,1,RAF Camora,RAF Camora,83.33333333333334,0.9743812531232834
Adriana,3b37d611-0c8c-49c8-8500-4f90f3ff6e47,RAF Camora,1,RAF Camora,RAF Camora,83.33333333333334,0.9743812531232834
Geschichte,b2087112-a7dd-4ea1-99ef-507a58250ac0,RAF Camora,1,RAF Camora,RAF Camora,83.33333333333334,0.9743812531232834
Gotham City,c48ecdcc-7cb5-4839-ad68-4ee83d1f38b1,RAF Camora,1,RAF Camora,RAF Camora,83.33333333333334,0.9743812531232834
Kokain,c26e75f0-4c0c-47fe-b9c5-129f46411543,RAF Camora,1,RAF Camora,RAF Camora,83.33333333333334,0.9743812531232834
Kontrollieren,f03b64d6-6943-4f9e-bea3-d75d3146c104,RAF Camora,1,RAF Camora,RAF Camora,83.33333333333334,0.9743812531232834
Primo,96f1b87b-e10c-4bab-a00c-7f363fed2fc7,RAF Camora,1,RAF Camora,RAF Camora,83.33333333333334,0.9743812531232834
Waffen,553398cb-bf36-4aa9-8c77-44a210507254,RAF Camora,1,RAF Camora,RAF Camora,83.33333333333334,0.9743812531232834
Acid Bass & Zappeln,5a9f02b0-eef0-4a3c-832e-573de9268a29,DJ Reckless,1,DJ Reckless,DJ Reckless,83.33333333333334,0.9719267934560776
Banger Spieler Atzen Dealer,63d930f4-022f-4212-bf8f-ff3e6b343b13,DJ Reckless,1,DJ Reckless,DJ Reckless,83.33333333333334,0.9719267934560776
Berlin bleibt Nummer 1,acb00ea5-0bc7-45a3-aea6-cec5a99c8040,DJ Reckless,1,DJ Reckless,DJ Reckless,83.33333333333334,0.9719267934560776
Bleib Wach,1f6f1c43-4e0a-40df-aa2f-2fbc7ede8a6b,DJ Reckless,1,DJ Reckless,DJ Reckless,83.33333333333334,0.9719267934560776
"Chrom, Schwarz, Fatcap",e5be7d09-6024-4ff0-bf1c-9f40689f43de,DJ Reckless,1,DJ Reckless,DJ Reckless,83.33333333333334,0.9719267934560776
Hustle Non Stop,a26fc63e-d1d8-4482-b82d-91e408aeb1f9,DJ Reckless,1,DJ Reckless,DJ Reckless,83.33333333333334,0.9719267934560776
Tittenparadies,285e3039-1e60-4c8a-ac39-250c51db9267,DJ Reckless,1,DJ Reckless,DJ Reckless,83.33333333333334,0.9719267934560776
Wir Raven Weiter,1ff69cff-e495-4d76-9470-af5d73839bee,DJ Reckless,1,DJ Reckless,DJ Reckless,83.33333333333334,0.9719267934560776
Allein sein,b8e44693-0be1-4959-b789-17659468916d,Beyazz,1,Beyazz,Beyazz,83.33333333333334,0.9706812724471092
Don’t Cry,357f6bd1-2480-4ee7-bc70-65cd6dd057d2,Beyazz,1,Beyazz,Beyazz,83.33333333333334,0.9706812724471092
Fick die Welt,54656114-1961-4d42-a106-4fcba009f354,Beyazz,1,Beyazz,Beyazz,83.33333333333334,0.9706812724471092
Kara,a6155440-3b86-4b6d-9aab-3ae95b6f68df,Beyazz,1,Beyazz,Beyazz,83.33333333333334,0.9706812724471092
Letzte Nacht,52bf2260-6bec-447d-ba04-7330565ed268,Beyazz,1,Beyazz,Beyazz,83.33333333333334,0.9706812724471092
